epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94549,1.1738,4.13072,1.28321,0.00333,1,0.20207,0.15813,0.74345,3.91409,1.27228,0,0,0
2,9.55156,1.50034,4.09189,1.42095,0.00333,1,0.20615,0.15987,0.75533,3.91738,1.28193,1.9604e-05,1.9604e-05,1.9604e-05
3,11.9696,1.70886,4.34951,1.4142,0.00333,1,0.25162,0.18298,0.77116,3.93843,1.29012,3.8416e-05,3.8416e-05,3.8416e-05
4,14.3995,1.3005,3.90895,1.30975,0.00333,1,0.34649,0.27177,0.84581,3.84235,1.27267,5.6436e-05,5.6436e-05,5.6436e-05
5,16.7884,1.15625,3.89477,1.11377,0.00333,1,0.12388,0.09726,0.94911,3.7055,1.28316,7.3664e-05,7.3664e-05,7.3664e-05
6,19.1752,1.01042,3.66154,1.12346,0.00333,1,0.07593,0.05378,0.94861,3.70537,1.20479,9.01e-05,9.01e-05,9.01e-05
7,21.5924,1.21056,3.76331,1.1219,0.00333,1,0.08407,0.04661,0.92475,3.61788,1.1641,0.000105744,0.000105744,0.000105744
8,24.0182,0.93251,3.32529,0.99347,0.00333,1,0.0705,0.06104,0.81703,3.53045,1.03639,0.000120596,0.000120596,0.000120596
9,26.4068,0.84494,3.2739,0.98637,0.00333,1,0.1223,0.10347,0.77662,3.3846,0.9611,0.000134656,0.000134656,0.000134656
10,28.8048,1.08041,3.08681,0.96711,0.00333,1,0.14756,0.11687,0.75996,3.32986,0.94595,0.000147924,0.000147924,0.000147924
11,31.2213,1.22219,3.2985,0.93411,0.00333,1,0.29704,0.21433,0.75795,3.32655,0.94364,0.0001604,0.0001604,0.0001604
12,33.6545,0.85981,2.50107,0.86029,0.00333,1,0.12926,0.09299,0.76491,3.32302,0.94335,0.000172084,0.000172084,0.000172084
13,36.2295,0.88709,2.02397,0.85979,0.00333,1,0.0515,0.03706,0.7765,3.32517,0.9474,0.000182976,0.000182976,0.000182976
14,38.6193,0.8305,1.52219,0.89578,0.00333,1,0.04249,0.02024,0.78949,3.33429,0.95357,0.000193076,0.000193076,0.000193076
15,41.2837,0.74623,1.45884,0.8671,0.00333,1,0.02055,0.01321,0.81661,3.33075,0.96234,0.000202384,0.000202384,0.000202384
16,43.8255,0.90996,1.63342,0.88337,0.00333,1,0.0174,0.00922,0.88027,3.38291,0.97338,0.0002109,0.0002109,0.0002109
17,46.3266,0.7525,1.44268,0.83614,0.00333,1,0.02187,0.00897,0.96997,3.42021,1.00542,0.000218624,0.000218624,0.000218624
18,48.8959,0.9582,1.85296,0.91317,0.00333,1,0.02187,0.00897,0.96997,3.42021,1.00542,0.000225556,0.000225556,0.000225556
19,51.5431,0.85521,1.76288,0.79665,0.00333,1,0.01027,0.00799,1.05672,3.4589,1.04044,0.000231696,0.000231696,0.000231696
20,54.1512,0.96851,1.45404,0.90117,0.00333,1,0.01027,0.00799,1.05672,3.4589,1.04044,0.000237044,0.000237044,0.000237044
21,56.7517,0.7536,1.15706,0.87219,0.00333,1,0.00961,0.00689,1.08294,3.54057,1.05143,0.0002416,0.0002416,0.0002416
22,59.2771,0.65807,0.97128,0.85073,0.00333,1,0.00961,0.00689,1.08294,3.54057,1.05143,0.000245364,0.000245364,0.000245364
23,61.8948,0.87759,1.0645,0.84854,0.00333,1,0.00815,0.00503,1.09147,3.60793,1.10322,0.000248336,0.000248336,0.000248336
24,64.5529,0.81446,1.16987,0.86347,0.00333,1,0.00815,0.00503,1.09147,3.60793,1.10322,0.000250516,0.000250516,0.000250516
25,68.6466,0.85738,1.2152,0.86786,0.00333,1,0.00767,0.00436,1.0956,3.66132,1.13234,0.000251904,0.000251904,0.000251904
26,71.7833,0.89859,1.24517,0.82325,0.00333,1,0.00767,0.00436,1.0956,3.66132,1.13234,0.0002525,0.0002525,0.0002525
27,74.6394,0.64631,1.1097,0.86771,0.00267,0.8,0.00572,0.00354,1.20088,3.76179,1.19151,0.000252304,0.000252304,0.000252304
28,77.5398,0.74277,1.25261,0.89057,0.00267,0.8,0.00572,0.00354,1.20088,3.76179,1.19151,0.000251316,0.000251316,0.000251316
29,80.3126,0.81651,1.39824,0.83944,0.00333,1,0.00745,0.00372,1.19188,3.68347,1.1605,0.000249536,0.000249536,0.000249536
30,82.9379,0.697,1.27638,0.79942,0.00333,1,0.00745,0.00372,1.19188,3.68347,1.1605,0.000246964,0.000246964,0.000246964
31,85.561,0.69832,0.94838,0.8268,0.00333,1,0.00692,0.0047,0.99746,3.68964,1.14991,0.0002436,0.0002436,0.0002436
32,88.0144,0.78781,1.1349,0.86072,0.00333,1,0.00692,0.0047,0.99746,3.68964,1.14991,0.000239444,0.000239444,0.000239444
33,90.4893,0.81522,1.19601,0.84621,0.00333,1,0.00701,0.00477,1.01492,3.76249,1.11128,0.000234496,0.000234496,0.000234496
34,92.9884,0.77772,1.3117,0.85769,0.00333,1,0.00701,0.00477,1.01492,3.76249,1.11128,0.000228756,0.000228756,0.000228756
35,95.3898,0.60494,1.01815,0.85548,0.00333,1,0.00708,0.00406,1.04549,3.82489,1.14046,0.000222224,0.000222224,0.000222224
36,97.7397,0.67309,1.18901,0.85715,0.00333,1,0.00708,0.00406,1.04549,3.82489,1.14046,0.0002149,0.0002149,0.0002149
37,100.324,0.81685,1.13536,0.86183,0.00333,1,0.00641,0.00418,1.0771,3.83164,1.17192,0.000206784,0.000206784,0.000206784
38,102.661,0.72537,1.10447,0.83204,0.00333,1,0.00641,0.00418,1.0771,3.83164,1.17192,0.000197876,0.000197876,0.000197876
39,105.067,0.62773,1.09832,0.85303,0.00333,1,0.00585,0.00316,1.20452,3.88747,1.25568,0.000188176,0.000188176,0.000188176
40,107.417,0.64672,1.18692,0.8517,0.00333,1,0.00585,0.00316,1.20452,3.88747,1.25568,0.000177684,0.000177684,0.000177684
41,109.777,0.67296,1.18883,0.81845,0.00333,1,0.00713,0.00334,1.17919,3.86892,1.23498,0.0001664,0.0001664,0.0001664
42,112.121,0.6945,1.10708,0.81831,0.00333,1,0.00713,0.00334,1.17919,3.86892,1.23498,0.000154324,0.000154324,0.000154324
43,114.472,0.64143,1.11604,0.88563,0.00333,1,0.00568,0.00261,1.23997,3.77288,1.25519,0.000141456,0.000141456,0.000141456
44,116.9,0.61123,1.08021,0.83948,0.00333,1,0.00568,0.00261,1.23997,3.77288,1.25519,0.000127796,0.000127796,0.000127796
45,119.357,0.70889,1.15107,0.87748,0.00333,1,0.00558,0.00247,1.29687,3.83677,1.27733,0.000113344,0.000113344,0.000113344
46,121.634,0.59039,1.05236,0.81584,0.00333,1,0.00558,0.00247,1.29687,3.83677,1.27733,9.81e-05,9.81e-05,9.81e-05
47,123.927,0.57221,1.06159,0.80851,0.00333,1,0.00564,0.0022,1.32088,3.94612,1.29029,8.2064e-05,8.2064e-05,8.2064e-05
48,126.332,0.56093,1.04722,0.76098,0.00333,1,0.00564,0.0022,1.32088,3.94612,1.29029,6.5236e-05,6.5236e-05,6.5236e-05
49,128.877,0.4719,0.98166,0.7933,0.00333,1,0.00561,0.0022,1.21046,3.9568,1.22798,4.7616e-05,4.7616e-05,4.7616e-05
50,131.251,0.59126,0.94472,0.83412,0.00333,1,0.00561,0.0022,1.21046,3.9568,1.22798,2.9204e-05,2.9204e-05,2.9204e-05
