epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.41681,1.02839,4.01187,1.26653,0.00752,1,0.995,0.6965,0.9535,2.47617,1.1903,0,0,0
2,6.24573,1.8837,4.12264,1.43992,0.00741,1,0.995,0.796,0.8933,2.4782,1.19839,1.9604e-05,1.9604e-05,1.9604e-05
3,7.09162,1.10305,4.07275,1.23958,0.00763,1,0.995,0.796,0.79763,2.47679,1.17314,3.8416e-05,3.8416e-05,3.8416e-05
4,7.87757,1.34783,3.78323,1.35001,0.0073,1,0.995,0.796,0.72224,2.46834,1.1551,5.6436e-05,5.6436e-05,5.6436e-05
5,8.66365,0.7078,3.79141,1.10071,0.00714,1,0.995,0.796,0.65448,2.46194,1.1267,7.3664e-05,7.3664e-05,7.3664e-05
6,9.44461,0.6881,4.07158,1.06867,0.00709,1,0.995,0.796,0.61591,2.45399,1.1239,9.01e-05,9.01e-05,9.01e-05
7,10.2869,1.23624,3.88316,1.02664,0.00704,1,0.995,0.796,0.59796,2.45844,1.12047,0.000105744,0.000105744,0.000105744
8,11.0799,0.67193,3.30125,0.92428,0.00719,1,0.995,0.796,0.57825,2.46155,1.13182,0.000120596,0.000120596,0.000120596
9,11.8946,0.57758,3.27758,0.85701,0.00699,1,0.995,0.796,0.59804,2.45613,1.09126,0.000134656,0.000134656,0.000134656
10,12.6942,0.72792,3.38851,0.90153,0.0073,1,0.995,0.796,0.61898,2.46269,1.15385,0.000147924,0.000147924,0.000147924
11,13.5118,0.61747,2.53806,0.83167,0.0069,1,0.995,0.796,0.63693,2.47725,1.16369,0.0001604,0.0001604,0.0001604
12,14.306,0.53235,2.39768,0.8582,0.00662,1,0.995,0.796,0.69654,2.47291,1.18024,0.000172084,0.000172084,0.000172084
13,15.1005,0.47115,2.35763,0.74834,0.00649,1,0.995,0.796,0.7717,2.47217,1.19039,0.000182976,0.000182976,0.000182976
14,15.9262,1.08244,2.34849,0.93594,0.00645,1,0.995,0.796,0.7743,2.475,1.1783,0.000193076,0.000193076,0.000193076
15,16.7515,0.79664,1.66753,0.87408,0.00629,1,0.995,0.796,0.78316,2.47468,1.08077,0.000202384,0.000202384,0.000202384
16,17.5532,0.81135,1.09479,0.82659,0.00621,1,0.995,0.796,0.80444,2.48253,1.09657,0.0002109,0.0002109,0.0002109
17,18.3583,0.72581,1.56274,0.84036,0.00613,1,0.995,0.796,0.84586,2.49643,1.11794,0.000218624,0.000218624,0.000218624
18,19.1451,1.0001,2.01402,0.76598,0.00613,1,0.995,0.796,0.84586,2.49643,1.11794,0.000225556,0.000225556,0.000225556
19,20.0424,0.68763,2.15531,0.83386,0.00606,1,0.995,0.796,0.88059,2.50707,1.13193,0.000231696,0.000231696,0.000231696
20,20.9517,0.62363,1.64125,0.85916,0.00606,1,0.995,0.796,0.88059,2.50707,1.13193,0.000237044,0.000237044,0.000237044
21,22.0326,0.67314,2.02913,0.91408,0.00588,1,0.995,0.796,0.93357,2.50636,1.14352,0.0002416,0.0002416,0.0002416
22,23.0166,0.79428,1.12726,0.93194,0.00588,1,0.995,0.796,0.93357,2.50636,1.14352,0.000245364,0.000245364,0.000245364
23,23.9153,0.85473,1.19862,0.85389,0.00585,1,0.995,0.796,0.94199,2.50456,1.15553,0.000248336,0.000248336,0.000248336
24,24.7391,0.44412,1.61478,0.68208,0.00585,1,0.995,0.796,0.94199,2.50456,1.15553,0.000250516,0.000250516,0.000250516
25,25.6052,0.9596,1.80637,0.9349,0.00568,1,0.995,0.796,0.9723,2.50763,1.17688,0.000251904,0.000251904,0.000251904
26,26.4118,0.88745,1.0105,0.82955,0.00568,1,0.995,0.796,0.9723,2.50763,1.17688,0.0002525,0.0002525,0.0002525
27,27.2766,0.78009,1.19604,0.8976,0.00552,1,0.995,0.796,0.98816,2.5063,1.18534,0.000252304,0.000252304,0.000252304
28,28.0914,0.78239,1.20031,0.85247,0.00552,1,0.995,0.796,0.98816,2.5063,1.18534,0.000251316,0.000251316,0.000251316
29,28.9281,0.53509,0.98472,0.85168,0.00538,1,0.995,0.796,1.0288,2.5122,1.20231,0.000249536,0.000249536,0.000249536
30,29.7468,0.92398,1.29253,0.75239,0.00538,1,0.995,0.796,1.0288,2.5122,1.20231,0.000246964,0.000246964,0.000246964
31,30.5966,0.64892,0.96312,0.81258,0.00503,1,0.995,0.796,1.06154,2.51261,1.21324,0.0002436,0.0002436,0.0002436
32,31.4165,0.57941,1.41523,0.77179,0.00503,1,0.995,0.796,1.06154,2.51261,1.21324,0.000239444,0.000239444,0.000239444
33,32.2891,0.61509,1.68676,0.92942,0.00508,1,0.995,0.796,1.06946,2.51328,1.20732,0.000234496,0.000234496,0.000234496
34,33.1048,0.51179,1.48163,0.91201,0.00508,1,0.995,0.796,1.06946,2.51328,1.20732,0.000228756,0.000228756,0.000228756
35,33.9358,0.45713,1.42386,0.81405,0.00481,1,0.995,0.597,1.09028,2.50885,1.23847,0.000222224,0.000222224,0.000222224
36,34.708,0.68704,1.31152,0.87812,0.00481,1,0.995,0.597,1.09028,2.50885,1.23847,0.0002149,0.0002149,0.0002149
37,35.5305,0.54523,1.46315,0.80917,0.00461,1,0.995,0.597,1.12584,2.51128,1.25858,0.000206784,0.000206784,0.000206784
38,36.3036,0.70127,1.01694,0.86789,0.00461,1,0.995,0.597,1.12584,2.51128,1.25858,0.000197876,0.000197876,0.000197876
39,37.1838,0.70366,1.05765,0.81418,0.00448,1,0.995,0.51077,1.1647,2.51105,1.258,0.000188176,0.000188176,0.000188176
40,38.0184,0.5199,0.8428,0.86991,0.00448,1,0.995,0.51077,1.1647,2.51105,1.258,0.000177684,0.000177684,0.000177684
41,38.8694,0.64726,1.47014,0.94822,0.00469,1,0.995,0.57212,1.18297,2.52117,1.2708,0.0001664,0.0001664,0.0001664
42,39.8752,0.67408,1.21069,0.91339,0.00469,1,0.995,0.57212,1.18297,2.52117,1.2708,0.000154324,0.000154324,0.000154324
43,40.8015,0.49166,1.15737,0.81865,0.00452,1,0.995,0.42288,1.21195,2.53202,1.29483,0.000141456,0.000141456,0.000141456
44,41.6596,0.52804,1.18204,0.89001,0.00452,1,0.995,0.42288,1.21195,2.53202,1.29483,0.000127796,0.000127796,0.000127796
45,42.602,0.49576,1.2506,0.707,0.00444,1,0.995,0.37099,1.23523,2.53414,1.32816,0.000113344,0.000113344,0.000113344
46,43.4287,0.53592,1.22565,0.80428,0.00444,1,0.995,0.37099,1.23523,2.53414,1.32816,9.81e-05,9.81e-05,9.81e-05
47,44.3572,0.62706,1.16507,0.86832,0.00455,1,0.995,0.6965,1.2402,2.53837,1.34488,8.2064e-05,8.2064e-05,8.2064e-05
48,45.1375,0.52681,1.14104,0.79569,0.00455,1,0.995,0.6965,1.2402,2.53837,1.34488,6.5236e-05,6.5236e-05,6.5236e-05
