epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45592,1.1738,4.13072,1.28321,0.00333,1,0.20207,0.15813,0.74345,3.91409,1.27228,0,0,0
2,9.97243,1.50034,4.09189,1.42095,0.00333,1,0.20615,0.15987,0.75533,3.91738,1.28193,1.9604e-05,1.9604e-05,1.9604e-05
3,12.3169,1.70886,4.34951,1.4142,0.00333,1,0.25162,0.18298,0.77116,3.93843,1.29012,3.8416e-05,3.8416e-05,3.8416e-05
4,14.9827,1.3005,3.90895,1.30975,0.00333,1,0.34649,0.27177,0.84581,3.84235,1.27267,5.6436e-05,5.6436e-05,5.6436e-05
5,17.779,1.15625,3.89477,1.11377,0.00333,1,0.12388,0.09726,0.94911,3.7055,1.28316,7.3664e-05,7.3664e-05,7.3664e-05
6,20.2503,1.01042,3.66154,1.12346,0.00333,1,0.07593,0.05378,0.94861,3.70537,1.20479,9.01e-05,9.01e-05,9.01e-05
7,22.8839,1.21056,3.76331,1.1219,0.00333,1,0.08407,0.04661,0.92475,3.61788,1.1641,0.000105744,0.000105744,0.000105744
8,25.9425,0.93251,3.32529,0.99347,0.00333,1,0.0705,0.06104,0.81703,3.53045,1.03639,0.000120596,0.000120596,0.000120596
9,28.6368,0.84494,3.2739,0.98637,0.00333,1,0.1223,0.10347,0.77662,3.3846,0.9611,0.000134656,0.000134656,0.000134656
10,31.5887,1.08041,3.08681,0.96711,0.00333,1,0.14756,0.11687,0.75996,3.32986,0.94595,0.000147924,0.000147924,0.000147924
11,34.7566,1.22219,3.2985,0.93411,0.00333,1,0.29704,0.21433,0.75795,3.32655,0.94364,0.0001604,0.0001604,0.0001604
12,37.6912,0.85981,2.50107,0.86029,0.00333,1,0.12926,0.09299,0.76491,3.32302,0.94335,0.000172084,0.000172084,0.000172084
13,40.1479,0.88709,2.02397,0.85979,0.00333,1,0.0515,0.03706,0.7765,3.32517,0.9474,0.000182976,0.000182976,0.000182976
14,42.6338,0.8305,1.52219,0.89578,0.00333,1,0.04249,0.02024,0.78949,3.33429,0.95357,0.000193076,0.000193076,0.000193076
15,45.1006,0.74623,1.45884,0.8671,0.00333,1,0.02055,0.01321,0.81661,3.33075,0.96234,0.000202384,0.000202384,0.000202384
16,47.8853,0.90996,1.63342,0.88337,0.00333,1,0.0174,0.00922,0.88027,3.38291,0.97338,0.0002109,0.0002109,0.0002109
17,50.7174,0.7525,1.44268,0.83614,0.00333,1,0.02187,0.00897,0.96997,3.42021,1.00542,0.000218624,0.000218624,0.000218624
18,53.2914,0.9582,1.85296,0.91317,0.00333,1,0.02187,0.00897,0.96997,3.42021,1.00542,0.000225556,0.000225556,0.000225556
19,55.9911,0.85521,1.76288,0.79665,0.00333,1,0.01027,0.00799,1.05672,3.4589,1.04044,0.000231696,0.000231696,0.000231696
20,58.8033,0.96851,1.45404,0.90117,0.00333,1,0.01027,0.00799,1.05672,3.4589,1.04044,0.000237044,0.000237044,0.000237044
21,61.5968,0.7536,1.15706,0.87219,0.00333,1,0.00961,0.00689,1.08294,3.54057,1.05143,0.0002416,0.0002416,0.0002416
22,64.4764,0.65807,0.97128,0.85073,0.00333,1,0.00961,0.00689,1.08294,3.54057,1.05143,0.000245364,0.000245364,0.000245364
23,67.6129,0.87759,1.0645,0.84854,0.00333,1,0.00815,0.00503,1.09147,3.60793,1.10322,0.000248336,0.000248336,0.000248336
24,70.2907,0.81446,1.16987,0.86347,0.00333,1,0.00815,0.00503,1.09147,3.60793,1.10322,0.000250516,0.000250516,0.000250516
25,73.2562,0.85738,1.2152,0.86786,0.00333,1,0.00767,0.00436,1.0956,3.66132,1.13234,0.000251904,0.000251904,0.000251904
26,75.9293,0.89859,1.24517,0.82325,0.00333,1,0.00767,0.00436,1.0956,3.66132,1.13234,0.0002525,0.0002525,0.0002525
27,78.6548,0.64631,1.1097,0.86771,0.00267,0.8,0.00572,0.00354,1.20088,3.76179,1.19151,0.000252304,0.000252304,0.000252304
28,82.6482,0.74277,1.25261,0.89057,0.00267,0.8,0.00572,0.00354,1.20088,3.76179,1.19151,0.000251316,0.000251316,0.000251316
29,87.2988,0.81651,1.39824,0.83944,0.00333,1,0.00745,0.00372,1.19188,3.68347,1.1605,0.000249536,0.000249536,0.000249536
30,91.2065,0.697,1.27638,0.79942,0.00333,1,0.00745,0.00372,1.19188,3.68347,1.1605,0.000246964,0.000246964,0.000246964
31,94.1649,0.69832,0.94838,0.8268,0.00333,1,0.00692,0.0047,0.99746,3.68964,1.14991,0.0002436,0.0002436,0.0002436
32,97.0068,0.78781,1.1349,0.86072,0.00333,1,0.00692,0.0047,0.99746,3.68964,1.14991,0.000239444,0.000239444,0.000239444
33,99.6435,0.81522,1.19601,0.84621,0.00333,1,0.00701,0.00477,1.01492,3.76249,1.11128,0.000234496,0.000234496,0.000234496
34,102.476,0.77772,1.3117,0.85769,0.00333,1,0.00701,0.00477,1.01492,3.76249,1.11128,0.000228756,0.000228756,0.000228756
35,105.246,0.60494,1.01815,0.85548,0.00333,1,0.00708,0.00406,1.04549,3.82489,1.14046,0.000222224,0.000222224,0.000222224
36,107.916,0.67309,1.18901,0.85715,0.00333,1,0.00708,0.00406,1.04549,3.82489,1.14046,0.0002149,0.0002149,0.0002149
37,111.176,0.81685,1.13536,0.86183,0.00333,1,0.00641,0.00418,1.0771,3.83164,1.17192,0.000206784,0.000206784,0.000206784
38,113.907,0.72537,1.10447,0.83204,0.00333,1,0.00641,0.00418,1.0771,3.83164,1.17192,0.000197876,0.000197876,0.000197876
39,116.84,0.62773,1.09832,0.85303,0.00333,1,0.00585,0.00316,1.20452,3.88747,1.25568,0.000188176,0.000188176,0.000188176
40,119.56,0.64672,1.18692,0.8517,0.00333,1,0.00585,0.00316,1.20452,3.88747,1.25568,0.000177684,0.000177684,0.000177684
41,122.174,0.67296,1.18883,0.81845,0.00333,1,0.00713,0.00334,1.17919,3.86892,1.23498,0.0001664,0.0001664,0.0001664
42,124.811,0.6945,1.10708,0.81831,0.00333,1,0.00713,0.00334,1.17919,3.86892,1.23498,0.000154324,0.000154324,0.000154324
43,127.849,0.64143,1.11604,0.88563,0.00333,1,0.00568,0.00261,1.23997,3.77288,1.25519,0.000141456,0.000141456,0.000141456
44,131.102,0.61123,1.08021,0.83948,0.00333,1,0.00568,0.00261,1.23997,3.77288,1.25519,0.000127796,0.000127796,0.000127796
45,134.124,0.70889,1.15107,0.87748,0.00333,1,0.00558,0.00247,1.29687,3.83677,1.27733,0.000113344,0.000113344,0.000113344
46,137.421,0.59039,1.05236,0.81584,0.00333,1,0.00558,0.00247,1.29687,3.83677,1.27733,9.81e-05,9.81e-05,9.81e-05
